,MAKE,MODEL,TRIM_LEVEL,BODY_TYPE,FUEL_TYPE,TRANSMISSION,NUMBER_OF_DOORS,DRIVEN_WHEELS,ENGINE_SIZE,POWER_TRAIN_TYPE,BATTERY_CAPACITY_KWH,MAX_POWER_HP,MAX_POWER_KW,SECONDARY_VERSION
1275,LAND ROVER,RANGE ROVER SPORT,SE,sports utility vehicle,diesel,automatic,5 portes,AWD,3.0,MHEV,,,,D250
1276,LAND ROVER,RANGE ROVER SPORT,SE,sports utility vehicle,electric,automatic,5 portes,AWD,3.0,PHEV,,,,P440E
1277,LAND ROVER,RANGE ROVER,SVAUTOBIO DYNAMIC S ED,sports utility vehicle,unleaded,automatic,5 portes,AWD,5.0,,,,,
1278,LAND ROVER,RANGE ROVER VELAR,EDITION,sports utility vehicle,diesel,automatic,5 portes,AWD,2.0,MHEV,,,,D200
1279,LAND ROVER,RANGE ROVER VELAR,HSE,sports utility vehicle,diesel,automatic,5 portes,AWD,3.0,,,,,D275
1280,LAND ROVER,RANGE ROVER VELAR,S,sports utility vehicle,diesel,automatic,5 portes,AWD,2.0,,,,,D240
1281,LAND ROVER,Range Rover,Autobiography,sports utility vehicle,electric,automatic,5 portes,AWD,3.0,PHEV,,,,P440e
1282,LAND ROVER,Range Rover,Autobiography,sports utility vehicle,unleaded,automatic,5 portes,AWD,4.4,,,,,P530
1283,LAND ROVER,Range Rover Evoque,,sports utility vehicle,unleaded,automatic,5 portes,AWD,2.0,MHEV,,,,P300
1284,LAND ROVER,Range Rover Evoque,NOLITA EDITION,sports utility vehicle,unleaded,automatic,5 portes,AWD,,MHEV,,,,P200
1285,LAND ROVER,Range Rover Evoque,R-Dynamic HSE,sports utility vehicle,diesel,automatic,5 portes,AWD,2.0,MHEV,,,,D150
1286,LAND ROVER,Range Rover Evoque,S,sports utility vehicle,diesel,manual,5 portes,FWD,,MHEV,,,,D165
1287,LAND ROVER,Range Rover Evoque,SE,sports utility vehicle,unleaded,automatic,5 portes,AWD,,MHEV,,,,P250
1288,LAND ROVER,Range Rover,SE,sports utility vehicle,unleaded,automatic,5 portes,AWD,,MHEV,,,,P400
1289,LAND ROVER,Range Rover,SV,sports utility vehicle,diesel,automatic,5 portes,AWD,,MHEV,,,,D350
1290,LAND ROVER,Range Rover Sport,HSE Dynamic,sports utility vehicle,diesel,automatic,5 portes,AWD,3.0,MHEV,,,,D300
1291,LAND ROVER,Range Rover Sport,HSE Dynamic,sports utility vehicle,unleaded,automatic,5 portes,AWD,5.0,,,,,
1292,LAND ROVER,Range Rover,Vogue,sports utility vehicle,diesel,automatic,5 portes,AWD,3.0,MHEV,,,,D300
1293,LAND ROVER,Range Rover Velar,Auric Edition,sports utility vehicle,electric,automatic,5 portes,AWD,2.0,PHEV,,,,
1294,LAND ROVER,Range Rover Velar,HSE,sports utility vehicle,unleaded,automatic,5 portes,AWD,2.0,,,,,P300
1295,LAND ROVER,Range Rover Velar,R-Dynamic HSE,sports utility vehicle,diesel,automatic,5 portes,AWD,3.0,,,,,D300
1296,LAND ROVER,Range Rover Velar,R-Dynamic SE,sports utility vehicle,unleaded,automatic,5 portes,AWD,,MHEV,,,,P400
1297,LEVC,VN5,Business,panel van,electric,automatic,4 dr,RWD,,,,,,
1298,LEXUS,CT,,hatchback,unleaded,automatic,5 portes,FWD,,HEV,,200h,,
1299,LEXUS,ES,Premium Edition,saloon,unleaded,automatic,4 dr,FWD,,HEV,,,,300h
1300,LEXUS,ES,F SPORT,saloon,unleaded,automatic,4 dr,FWD,2.5,HEV,,,,300H
1301,LEXUS,ES,F SPORT,saloon,unleaded,automatic,4 dr,FWD,2.5,HEV,,,,300H
1302,LEXUS,IS,EXECUTIVE EDITION,saloon,unleaded,automatic,4 dr,RWD,2.5,HEV,,,,300H
1303,LEXUS,NX,DESIGN,sports utility vehicle,unleaded,automatic,5 portes,FWD,2.5,HEV,,,,300H
1304,LEXUS,NX,Executive,sports utility vehicle,unleaded,automatic,5 portes,AWD,,HEV,,,,350h
1305,LEXUS,NX,F Sport,sports utility vehicle,electric,automatic,5 portes,AWD,,PHEV,,,,
1306,LEXUS,NX,F SPORT,sports utility vehicle,unleaded,automatic,5 portes,FWD,2.5,HEV,,,,300H
1307,LEXUS,RC,F LUXURY,coupe,unleaded,automatic,2 door,RWD,5.0,,,,,
1308,LEXUS,RC,F TRACK EDITION,coupe,unleaded,automatic,2 door,RWD,5.0,,,,,
1309,LEXUS,RC,TAKUMI,coupe,unleaded,automatic,2 door,RWD,2.5,HEV,,,,300H
1310,LEXUS,RX,EXECUTIVE LINE,sports utility vehicle,electric,automatic,5 portes,AWD,2.5,PHEV,,,,450H+
1311,LEXUS,RX,F SPORT,sports utility vehicle,unleaded,automatic,5 portes,AWD,2.4,HEV,,,,500H
1312,LEXUS,RX,F SPORT,sports utility vehicle,unleaded,automatic,5 portes,AWD,3.5,HEV,,,,450H
1313,LEXUS,RX,SPORT,sports utility vehicle,unleaded,automatic,5 portes,AWD,3.5,HEV,,,,450H
1314,LEXUS,RZ,Luxury One Motion Grip,sports utility vehicle,electric,automatic,5 portes,AWD,,BEV,,,,450e
1315,LEXUS,UX,ECO,sports utility vehicle,electric,automatic,5 portes,FWD,,BEV,54.3KWH,,,300E
1316,LOTUS,EXIGE,CUP 430 FINAL EDITION,coupe,unleaded,manual,2 door,RWD,3.5,,,,,
1317,MAN,TGE,,chassis cab,diesel,manual,4 dr,RWD,,,,,130KW,
1318,MAN,TGE,,chassis cab,diesel,manual,2 door,FWD,,,,177ch,,
1319,MAN,TGE,,chassis cab,diesel,manual,4 dr,RWD,,,,,90KW,
1320,MAN,TGE,,chassis cab,diesel,automatic,2 door,AWD,,,,,130KW,
1321,MAN,TGE,,chassis cowl,diesel,manual,,FWD,,,,177ch,,
1322,MAN,TGE,,drop side,diesel,manual,4 dr,FWD,,,,,130KW,
1323,MAN,TGE,,drop side,diesel,manual,2 door,RWD,,,,,90KW,
1324,MAN,TGE,,panel van,diesel,manual,4 dr,RWD,,,,,130KW,
1325,MAN,TGE,,panel van,diesel,manual,4 dr,RWD,,,,,130KW,
1326,MAN,TGE,,panel van,diesel,automatic,4 dr,FWD,,,,177HP,,
1327,MAN,TGE,,panel van,diesel,manual,4 dr,RWD,2.0,,,177ch,,
1328,MAN,TGE,Li XC,panel van,diesel,automatic,4 dr,RWD,,,,,,
1329,MAN,TGE,Lion XC,panel van,diesel,manual,4 dr,RWD,,,,,,
1330,MAN,TGE,LION XP,panel van,diesel,manual,4 dr,FWD,2.0,,,,,
1331,MASERATI,GHIBLI,MODENA,saloon,premium unleaded,automatic,4 dr,AWD,3.0,,,430HP,,
1332,MASERATI,GHIBLI,ROYALE,saloon,unleaded,automatic,4 dr,RWD,3.0,,,,257KW,
1333,MASERATI,Ghibli,GranLusso,saloon,premium unleaded,automatic,4 dr,RWD,3.0,,,350cv,,
1334,MASERATI,Ghibli,GranSport,saloon,premium unleaded,automatic,4 dr,RWD,2.0,MHEV,,330ch,,
1335,MASERATI,Ghibli,Ribelle,saloon,Diesel,automatic,4 dr,RWD,3.0,,,,,
1336,MASERATI,Grecale,Modena,sports utility vehicle,premium unleaded,automatic,5 portes,AWD,2.0,MHEV,,,,
1337,MASERATI,Grecale,Trofeo,sports utility vehicle,premium unleaded,automatic,5 portes,AWD,3.0,,,530ch,,
1338,MASERATI,LEVANTE,MODENA S,sports utility vehicle,premium unleaded,automatic,5 portes,AWD,3.0,,,430HP,,
1339,MASERATI,Levante,Granlusso,sports utility vehicle,unleaded,automatic,5 portes,AWD,3.0,,,350hp,,
1340,MASERATI,QUATTROPORTE,GRANSPORT,saloon,unleaded,automatic,4 dr,RWD,3.0,,,,,
1341,MASERATI,Quattroporte,S GranSport,saloon,unleaded,automatic,4 dr,RWD,3.0,,,,,
1342,MASERATI,Quattroporte,Trofeo,saloon,Gasolina,automatic,4 dr,RWD,,,,580CV,,
1343,MAXUS,DELIVER 9,,panel van,CRDI,automatic,4 dr,FWD,2.0,,,,,
1344,MAXUS,EV80,,panel van,electric,automatic,4 dr,FWD,,BEV,56KWH,,,
1345,MAXUS,eDeliver 3,,Panel Van,,automatic,4 dr,FWD,,BEV,52.5kWh,,,
1346,MAZDA,CX-3,ZENITH,sports utility vehicle,D,manual,5 portes,AWD,1.8,,,,85KW,
1347,MAZDA,CX-30,GT Sport Tech Edition,sports utility vehicle,unleaded,manual,5 portes,AWD,2.0,MHEV,,186ps,,
1348,MAZDA,CX-30,Zenith Safety,sports utility vehicle,unleaded,manual,5 portes,FWD,2.0,MHEV,,,137kW,
1349,MAZDA,CX-30,ZENITH SAFETY,sports utility vehicle,unleaded,automatic,5 portes,FWD,2.0,,,,132KW,
1350,MAZDA,CX-5,Executive,sports utility vehicle,Diesel,manual,5 portes,AWD,2.2L,,,150cv,,
1351,MAZDA,CX-5,TAKUMI,sports utility vehicle,unleaded,automatic,5 portes,FWD,2.0,MHEV,,,121KW,
1352,MAZDA,CX-5,Zenith,sports utility vehicle,diesel,manual,5 portes,FWD,2.2,,,150CV,110kW,
1353,MAZDA,MAZDA3,EXCLUSIVE-LINE,hatchback,SKYACTIV-D,manual,5 portes,FWD,2.2,,,,,
1354,MAZDA,MAZDA3,SPORT,saloon,unleaded,manual,4 dr,FWD,2.0,MHEV,,,,
1355,MAZDA,MAZDA3,ZENITH-X SAFETY,hatchback,unleaded,automatic,5 portes,FWD,2.0,MHEV,,,,
1356,MAZDA,MX-30,EDITION-R,sports utility vehicle,E-SKYACTIV,automatic,5 portes,FWD,0.8,EREV,,,,
1357,MAZDA,MX-30,Exceed,sports utility vehicle,electric,automatic,5 portes,FWD,,BEV,"35,5kWh",143cv,,
1358,MAZDA,MX-30,MAKOTO PREM,sports utility vehicle,electric,automatic,5 portes,FWD,,BEV,36KWH,,,
1359,MAZDA,MX-5,PRIME-LINE,cabriolet,unleaded,manual,2 door,RWD,1.5I,,,,,
1360,MAZDA,MX-5,Sport,cabriolet,unleaded,manual,2 door,RWD,1.5,,,,,
1361,MAZDA,Mazda3,Centre-Line,hatchback,unleaded,manual,5 portes,FWD,2.0,MHEV,,186ps,,
1362,MAZDA,Mazda3,GT Sport,hatchback,diesel,automatic,5 portes,FWD,1.8,,,116ps,,
1363,MAZDA,Mazda3,Homura,hatchback,unleaded,automatic,5 portes,FWD,2.0,MHEV,,122ps,,
1364,MAZDA,Mazda3,SE-L Lux,hatchback,unleaded,manual,5 portes,FWD,2.0,MHEV,,186ps,,
1365,MAZDA,Mazda3,ZENITH,saloon,e-SKYACTIV-X,automatic,4 dr,FWD,2.0,MHEV,,,,
1366,MAZDA,Mazda6,Signature Sky,saloon,SKYACTIVE-D,automatic,4 dr,FWD,2.2,,,,135kW,
1367,MERCEDES,A-CLASS,BUSINESS EXTRA,hatchback,diesel,automatic,5 portes,FWD,1.5,,,,,180 D
1368,MERCEDES,A-CLASS,EXCLUSIVE EDITION,hatchback,unleaded,manual,5 portes,FWD,1.3,,,,,A 200
1369,MERCEDES,A-CLASS,EXECUTIVE,hatchback,unleaded,automatic,5 portes,FWD,1.3,MHEV,,,,A 180
1370,MERCEDES,A-CLASS,EXECUTIVE,saloon,unleaded,automatic,4 dr,FWD,1.3,MHEV,,,,A 200
1371,MERCEDES,A-CLASS,SPORT,hatchback,unleaded,automatic,5 portes,FWD,1.3,,,,,200
1372,MERCEDES,A-CLASS,SPORT,saloon,unleaded,automatic,4 dr,AWD,2.0,,,,,220
1373,MERCEDES,A-Class,Sport Executive,saloon,diesel,manual,4 dr,FWD,,,,,,180
1374,MERCEDES,AMG GT,R PRO,coupe,premium unleaded,automatic,3 doors,RWD,4.0,,,,,
1375,MERCEDES,B-CLASS,PROGRESSIVE LINE,mini MPV,diesel,manual,5 portes,FWD,1.5,,,,,B 180 D
1376,MERCEDES,C-CLASS,BUSINESS EXTRA,estate,electric,automatic,5 portes,RWD,2.0,PHEV,,,,C 300 E
1377,MERCEDES,C-CLASS,MERCEDES-AMG,estate,premium unleaded,automatic,5 portes,RWD,4.0,,,,,C 63
1378,MERCEDES,C-Class,AMG Line Edition,estate,diesel,manual,5 portes,RWD,,,,,,C200d
1379,MERCEDES,C-Class,AMG Line Night Ed Premium Plus,saloon,electric,automatic,4 dr,RWD,,PHEV,,,,C 300 e
1380,MERCEDES,C-Class,AMG Line Premium,saloon,unleaded,automatic,4 dr,RWD,,MHEV,,,,C 200
1381,MERCEDES,C-Class,SE,estate,diesel,automatic,5 portes,RWD,,,,,,C220d
1382,MERCEDES,C-Class,Sport Edition,estate,diesel,manual,5 portes,RWD,,,,,,C200d
1383,MERCEDES,C-Class,Sport,estate,diesel,automatic,5 portes,RWD,,,,,,C200d
1384,MERCEDES,C-Class,Sport,estate,unleaded,automatic,5 portes,RWD,,,,,,C300
1385,MERCEDES,CLA,BUSINESS,saloon,unleaded,manual,4 dr,FWD,2.0,,,,,250
1386,MERCEDES,CLA,PREMIUM,estate,electric,automatic,5 portes,FWD,1.3,PHEV,,,,250
1387,MERCEDES,CLA,Executive,estate,unleaded,manual,5 portes,AWD,,,,,,220
1388,MERCEDES,CLA-CLASS,AMG LINE NIGHT ED,saloon,unleaded,manual,4 dr,AWD,2.0,,,,,CLA 220
1389,MERCEDES,Citan,BASE,car van,CDI,manual,3 doors,FWD,,,,,85kW,112
1390,MERCEDES,Clase A,,Sedán,diesel,manual,4 dr,AWD,,,,,,A 200 d
1391,MERCEDES,Classe C,ADVANCED PLUS,saloon,electric,automatic,4 dr,RWD,,PHEV,,,,300
1392,MERCEDES,Classe C,Business,estate,diesel,automatic,5 portes,RWD,,MHEV,,,,C 220 d
1393,MERCEDES,Classe E,Business Sport,saloon,unleaded,automatic,4 dr,RWD,,MHEV,,,,E200
1394,MERCEDES,Classe E,Exclusive,estate,diesel,automatic,5 portes,RWD,,MHEV,,,,E220d
1395,MERCEDES,Classe E,Exclusive,saloon,diesel,automatic,4 dr,AWD,,,,,,E220d
1396,MERCEDES,Classe E,Exclusive,saloon,unleaded,automatic,4 dr,RWD,,MHEV,,,,E200
1397,MERCEDES,Classe E,Premium Plus,saloon,unleaded,automatic,4 dr,RWD,,,,,,E200
1398,MERCEDES,Classe E,Premium,estate,diesel,automatic,5 portes,RWD,,,,,,E350d
1399,MERCEDES,Classe E,Premium,saloon,electric,automatic,4 dr,RWD,,PHEV,,,,E300
1400,MERCEDES,Classe E,Sport,estate,diesel,automatic,5 portes,RWD,,,,,,E350d
1401,MERCEDES,GLA,Business Executive Edition,sports utility vehicle,unleaded,manual,5 portes,FWD,,,,,,200
1402,MERCEDES,Classe S,Business,saloon,unleaded,automatic,4 dr,AWD,,MHEV,,,,S 450
1403,MERCEDES,Classe V,Premium,MPV,diesel,automatic,5 portes,RWD,,,,,,V 300 D
1404,MERCEDES,E-CLASS,PREMIUM PLUS,saloon,unleaded,automatic,4 dr,RWD,2.0,MHEV,,,,E 200
1405,MERCEDES,E-Class,AMG Line Premium,estate,premium unleaded,automatic,5 portes,RWD,,MHEV,,,,E 200
1406,MERCEDES,E-Class,AMG Line,coupe,diesel,automatic,2 door,AWD,,,,,,E400d
1407,MERCEDES,E-Class,AMG Line,saloon,diesel,automatic,4 dr,AWD,,,,,,E400d
1408,MERCEDES,EQB,PREMIUM PLUS,sports utility vehicle,electric,automatic,5 portes,AWD,,BEV,,,,350
1409,MERCEDES,EQB,SPORT PLUS,sports utility vehicle,electric,automatic,5 portes,AWD,,BEV,,,,300
1410,MERCEDES,EQE,AMG LINE,saloon,electric,automatic,4 dr,RWD,,BEV,90KWH,,,EQE 350
1411,MERCEDES,EQE,Exclusive Luxury,saloon,electric,automatic,4 dr,RWD,,BEV,,,,350+
1412,MERCEDES,EQS,AMG Line,sports utility vehicle,electric,automatic,5 portes,AWD,,BEV,,,,450
1413,MERCEDES,GLA,AMG LINE PREMIUM PLUS,sports utility vehicle,unleaded,manual,5 portes,FWD,1.3,,,,,200
1414,MERCEDES,GLC,ADVANCED PLUS,sports utility vehicle,electric,automatic,5 portes,AWD,2.0,PHEV,,,,300E
1415,MERCEDES,GLE,,sports utility vehicle,unleaded,automatic,5 portes,AWD,4.0,MHEV,,,,580
1416,MERCEDES,MARCO POLO,HORIZON EDITION,campervan,CDI,automatic,4 dr,RWD,2.1,,,,140KW,
1417,MERCEDES,S-Class,AMG Line Premium Executive,saloon,diesel,automatic,4 dr,AWD,,,,,,S 400 d
1418,MERCEDES,SPRINTER,,chassis cab,diesel,manual,2 door,RWD,2.1,,,,,516CDI
1419,MERCEDES,SPRINTER,,chassis cab,CDI,manual,4 dr,RWD,2.1,,,114HP,,211CDI
1420,MERCEDES,SPRINTER,,chassis cab,CDI,manual,2 door,RWD,2.1,,,143HP,,
1421,MERCEDES,SPRINTER,,chassis cab,CDI,automatic,4 dr,RWD,3.0,,,,140KW,419CDI
1422,MERCEDES,SPRINTER,,chassis cab,CDI,manual,2 door,RWD,3.0,,,190HP,,419
1423,MERCEDES,SPRINTER,,combi,CDI,manual,4 dr,RWD,2.0,,,,110KW,
1424,MERCEDES,SPRINTER,,combi,diesel,manual,4 dr,RWD,2.1,,,,,
1425,MERCEDES,SPRINTER,,drop side,CDI,manual,2 door,RWD,2.0,,,,110KW,
1426,MERCEDES,SPRINTER,,panel van,CDI,manual,4 dr,RWD,2.0,,,,,417
1427,MERCEDES,SPRINTER,,panel van,CDI,manual,4 dr,RWD,2.0,,,,,517
1428,MERCEDES,SPRINTER,PRO,panel van,CDI,manual,4 dr,RWD,3.0,,,190HP,,519
1429,MERCEDES,SPRINTER,SELECT,panel van,CDI,manual,4 dr,RWD,2.1,,,163HP,,316
1430,MERCEDES,SPRINTER,SELECT,panel van,CDI,manual,4 dr,RWD,2.1,,,163HP,,
1431,MERCEDES,SPRINTER,SPIER ATHLET PLUS,parcel van,CDI,manual,3 doors,RWD,3.0,,,,140KW,319
1432,MERCEDES,Sprinter,,chassis cab,CDI,manual,2 door,RWD,,,,,,
1433,MERCEDES,Sprinter,,drop side,CDI,manual,4 dr,RWD,,,,,,414
1434,MERCEDES,Sprinter,,drop side,diesel,automatic,4 dr,RWD,,,,,,519CDI
1435,MERCEDES,Sprinter,,panel van,CDI,manual,4 dr,RWD,,,,,,417
1436,MERCEDES,Sprinter,,panel van,CDI,automatic,4 dr,RWD,,,,,,419
1437,MERCEDES,Sprinter,,panel van,CDI,manual,4 dr,RWD,,,,,,515
1438,MERCEDES,Sprinter,eSprinter,panel van,electric,automatic,4 dr,FWD,,BEV,,,,
1439,MERCEDES,Sprinter,FIRST,panel van,diesel,manual,4 dr,RWD,,,,,,
1440,MERCEDES,Sprinter,FIRST,panel van,diesel,manual,4 dr,RWD,,,,,,416
1441,MERCEDES,Sprinter,FIRST,panel van,diesel,manual,4 dr,RWD,,,,,,419
1442,MERCEDES,Sprinter,Premium,panel van,diesel,manual,4 dr,RWD,,,,,,
1443,MERCEDES,Sprinter,PRO,panel van,diesel,manual,4 dr,RWD,,,,,,
1444,MERCEDES,Sprinter,Progressive,panel van,diesel,manual,4 dr,RWD,,,,,,315CDI
1445,MERCEDES,Sprinter,Progressive,panel van,diesel,manual,4 dr,RWD,,,,,,514CDI
1446,MERCEDES,Sprinter,,chassis cab,CDI,manual,2 door,RWD,,,,,,416
1447,MERCEDES,Sprinter,SELECT,panel van,diesel,manual,4 dr,RWD,,,,,,311
1448,MERCEDES,V-CLASS,SPORT BUSINESS,MPV,diesel,automatic,5 portes,RWD,2.0,,,,,V 250 D
1449,MERCEDES,V-CLASS,SPORT BUSINESS,MPV,diesel,automatic,5 portes,RWD,2.0,,,,,V 300 D
1450,MERCEDES,VITO,,panel van,diesel,automatic,5 portes,RWD,2.1,,,,,119CDI
1451,MERCEDES,VITO,BASE,panel van,CDI,automatic,4 dr,RWD,2.0,,,,140KW,
1452,MERCEDES,VITO,PRO,combi,diesel,automatic,4 dr,AWD,2.0,,,,176KW,
1453,MERCEDES,VITO,PROGRESSIVE,panel van,diesel,automatic,5 portes,RWD,2.1,,,,,114CDI
1454,MERCEDES,VITO,SELECT,combi,CDI,automatic,4 dr,RWD,2.0,,,,,114
1455,MERCEDES,Vito,Pro,panel van,CDI,manual,4 dr,FWD,,,,,,110
1456,MERCEDES,Vito,Pure,panel van,diesel,manual,5 portes,RWD,,,,,,
1457,MERCEDES,E-VITO,PRO,combi,electric,automatic,4 dr,FWD,,BEV,,,,
1458,MG,MG5,COMFORT,estate,electric,automatic,5 portes,FWD,,BEV,50KWH,,,
1459,MG,ZS,LUX,sports utility vehicle,electric,automatic,5 portes,FWD,,BEV,45KWH,,,
1460,,MG5,Maximal Luxury,,,,,,,,,,,
1461,MINI,CLUBMAN,COOPER KNIGHTSBRIDGE,estate,unleaded,automatic,5 portes,FWD,1.5,,,,,
1462,MINI,CLUBMAN,COOPER SD BOOST,estate,diesel,manual,5 portes,FWD,2.0,,,,,
1463,MINI,CLUBMAN,COOPER S SPORT,estate,unleaded,manual,5 portes,FWD,2.0,,,,,
1464,MINI,CLUBMAN,COOPER SD YOURS,estate,diesel,automatic,5 portes,FWD,2.0,,,,,
1465,MINI,CLUBMAN,ESSENTIAL TRIM,estate,diesel,automatic,5 portes,FWD,2.0,,,,,
1466,MINI,COUNTRYMAN,COOPER D BOOST,hatchback,diesel,manual,5 portes,FWD,2.0,,,,,
1467,MINI,COUNTRYMAN,COOPER BUSINESS DESIGN,hatchback,unleaded,manual,5 portes,FWD,1.5,,,,,
1468,MINI,COUNTRYMAN,COOPER CLASSIC,hatchback,unleaded,manual,5 portes,FWD,1.5,,,,,
1469,MINI,COUNTRYMAN,COOPER S BUSINESS,hatchback,unleaded,manual,5 portes,FWD,2.0,,,,,
1470,MINI,COUNTRYMAN,COOPER,hatchback,unleaded,manual,5 portes,AWD,1.5,,,,,
1471,MINI,COUNTRYMAN,ONE D BUSINESS,hatchback,diesel,manual,5 portes,FWD,1.5,,,,,
1472,MINI,COUNTRYMAN,UNTAMED EDITION,hatchback,diesel,automatic,5 portes,AWD,2.0,,,,,
1473,MINI,Clubman,Cooper S Untold,estate,unleaded,automatic,5 portes,FWD,,,,,,
1474,MINI,Clubman,Cooper S,estate,unleaded,automatic,5 portes,AWD,,,,,,
1475,MINI,Clubman,Untold Edition,estate,unleaded,automatic,5 portes,AWD,,,,,,
1476,MINI,Countryman,Cooper S Edition Longstone,hatchback,unleaded,manual,5 portes,FWD,,,,192 ch,,
1477,MINI,Countryman,Cooper,hatchback,unleaded,automatic,5 portes,AWD,,,,,,
1478,MINI,Countryman,Cooper,hatchback,unleaded,manual,5 portes,FWD,,,,,,
1479,MINI,Countryman,John Cooper Works,hatchback,unleaded,automatic,5 portes,AWD,,,,,,
1480,MINI,,Cooper S,hatchback,unleaded,manual,3 doors,FWD,,,,,,
1481,MINI,MINI,CLASSIC,hatchback,unleaded,automatic,5 portes,FWD,1.5I,,,,,
1482,MINI,MINI,Cooper JCW,hatchback,unleaded,manual,5 portes,FWD,,,,,,
1483,MINI,MINI,Cooper S Hype,Cabrio,unleaded,manual,2 door,FWD,,,,,,
1484,MINI,MINI,COOPER S,hatchback,unleaded,manual,5 portes,FWD,2.0,,,,,
1485,MINI,MINI,JOHN COOPER WORKS,CABRIO,unleaded,automatic,2 door,FWD,2.0,,,,,
1486,MINI,MINI,MINI YOURS TRIM,hatchback,unleaded,manual,3 doors,FWD,1.5,,,,,
1487,MINI,MINI,ONE BOOST,CABRIO,unleaded,manual,2 door,FWD,1.5,,,,,
1488,MINI,MINI,ONE CHILI,hatchback,unleaded,automatic,3 doors,FWD,1.5,,,,,
1489,MINI,MINI,One,Cabrio,unleaded,manual,2 door,FWD,,,,,,
1490,MINI,MINI,One,hatchback,unleaded,manual,5 portes,FWD,,,,,,
1491,MITSUBISHI,ASX,KAITEKI,sports utility vehicle,electric,automatic,5 portes,FWD,1.6,PHEV,,160,,
1492,MITSUBISHI,ASX,MOTION,sports utility vehicle,unleaded,manual,5 portes,FWD,1.0,,,,,
1493,MITSUBISHI,ECLIPSE CROSS,BLACK CONNECTED,sports utility vehicle,unleaded,automatic,5 portes,AWD,1.5,,,,,
1494,MITSUBISHI,ECLIPSE CROSS,DESIGN SE,sports utility vehicle,unleaded,manual,5 portes,FWD,1.5,,,,,
1495,MITSUBISHI,OUTLANDER,INTENSE,sports utility vehicle,unleaded,manual,5 portes,FWD,2.0,,,,,
1496,MITSUBISHI,OUTLANDER,SPIRIT+,sports utility vehicle,unleaded,automatic,5 portes,AWD,2.0,,,,,
1497,MITSUBISHI,Outlander,Top,sports utility vehicle,Benziner,automatic,5 portes,AWD,2.0,,,,,
1498,MITSUBISHI,Space Star,,hatchback,unleaded,manual,5 portes,FWD,1.2,,,,,
1499,,MOKKA,ELEGANCE,,,,,,1.2,,,130CH,,
1500,,MOKKA,EDITION,,,MT6,,,1.2,,,100CV,,
1501,,MOKKA,ELEGANCE,,,,,,1.2,,,130CH,,
1502,,3008,GT,,,AUT,,,,,,,,
1503,,,GT,,,,,,,,,,,
1504,,,,,,AUT,,,,,,,,
1505,,NAVARA,N-CONNECTA,,,,,4WD,,,,160HP,,
1506,,COMPASS,,,,,,,1.5,MHEV,,130cv,,
1507,,SORENTO,STYLE,,,,,AWD,1.6,PHEV,,,,
1508,,Polo,Life,,TSI,DSG,5dr,,1.0,,,,,
1509,Volkswagen,T-roc,R-Line,Cabriolet,TSI,DSG,2dr,,1.5,,,,,
1510,Volkswagen,Tiguan,R-Line,Estate,TDI,DSG,5dr,4Motion,2.0,,,,,
1511,NIO,ET5,,saloon,electric,automatic,4 dr,AWD,,BEV,100KWH,,,
1512,NISSAN,370Z,NISMO,coupe,premium unleaded,manual,3 doors,RWD,3.7,,,,,
1513,NISSAN,ARIYA,,sports utility vehicle,electric,automatic,5 portes,FWD,,BEV,66KWH,,7.4KW,
1514,NISSAN,GT-R,BLACK EDITION,coupe,premium unleaded,manual,2 door,AWD,3.8,,,,,
1515,NISSAN,INTERSTAR,,chassis cab,DCI,manual,4 dr,RWD,2.3,,,,107KW,S/S
1516,NISSAN,INTERSTAR,ACENTA,panel van,DCI,automatic,4 dr,FWD,2.3,,,,132KW,
1517,NISSAN,INTERSTAR,ACENTA,panel van,DCI,manual,4 dr,FWD,2.3,,,135PS,,
1518,NISSAN,INTERSTAR,ACENTA,panel van,DCI,automatic,4 dr,FWD,2.3,,,180PS,,
1519,NISSAN,INTERSTAR,ACENTA,platform cab,DCI,manual,2 door,FWD,2.3,,,165PS,,
1520,NISSAN,INTERSTAR,ACENTA,platform cab,DCI,manual,2 door,FWD,2.3,,,,,
1521,NISSAN,INTERSTAR,ACENTA,TIPPER,DCI,manual,2 door,RWD,2.3,,,130PS,,
1522,NISSAN,INTERSTAR,GO,chassis cab,diesel,manual,2 door,RWD,,,,,96KW,
1523,NISSAN,INTERSTAR,N-CON,drop side,diesel,manual,4 dr,RWD,,,,,107KW,
1524,NISSAN,INTERSTAR,OPTIMA,panel van,diesel,manual,4 dr,FWD,,,,,110KW,
1525,NISSAN,INTERSTAR,TEKNA,chassis cab,DCI,manual,4 dr,RWD,2.3,,,130PS,,
1526,NISSAN,INTERSTAR,TEKNA,panel van,DCI,manual,4 dr,RWD,2.3,,,130PS,,
1527,NISSAN,INTERSTAR,TEKNA,panel van,DCI,automatic,4 dr,FWD,2.3,,,,132KW,
1528,NISSAN,INTERSTAR,TEKNA,panel van,diesel,manual,4 dr,FWD,,,,,,
1529,NISSAN,Interstar,Acenta,panel van,DCI,manual,4 dr,RWD,2.3,,,165cv,,
1530,NISSAN,Interstar,Acent,Tipper,2.3dCi,manual,2 door,RWD,,,,165PS,,
1531,NISSAN,Interstar,Comfort,panel van,diesel,manual,4 dr,FWD,,,,,110kW,
